src_id,dst_id,weight
144,389,0.0513
144,324,0.1538
144,117,0.1026
144,186,0.0513
144,61,0.1026
144,30,0.1538
144,81,0.1538
144,47,0.0513
9,56,0.2051
9,67,0.1026
9,0,0.1026
9,338,0.0769
9,50,0.359
9,127,0.1026
9,12,0.2564
9,191,0.1026
9,417,0.0513
9,238,0.1026
9,124,0.1026
9,254,0.1026
9,451,0.0513
9,24,0.1538
9,326,0.1026
9,185,0.1538
9,243,0.1538
9,55,0.1026
9,60,0.1026
9,311,0.1026
9,312,0.0513
9,166,0.1538
9,28,0.0513
9,178,0.1538
9,171,0.0513
9,103,0.1026
9,21,0.1026
9,4,0.1538
9,305,0.0513
9,122,0.1026
9,339,0.0513
9,128,0.1026
9,54,0.3077
9,352,0.1026
9,136,0.1538
9,26,0.1026
9,98,0.0256
9,452,0.1026
9,453,0.1026
9,433,0.0769
9,267,0.0513
9,39,0.0513
9,7,0.1026
9,277,0.0513
9,205,0.1538
9,76,0.1538
9,58,0.1026
9,62,0.0513
9,34,0.1026
9,18,0.1538
9,435,0.0769
9,467,0.0513
9,134,0.1026
9,175,0.0513
9,44,0.2051
9,225,0.0513
9,156,0.0513
9,22,0.2051
9,295,0.1026
9,301,0.0513
9,5,0.2051
9,176,0.0513
9,194,0.0513
9,309,0.0513
9,174,0.0513
9,169,0.1538
9,296,0.0513
9,317,0.0513
9,71,0.0513
9,89,0.1026
9,413,0.0513
9,222,0.1026
9,90,0.2051
9,350,0.0513
9,92,0.1795
9,147,0.0513
9,43,0.1026
9,19,0.1026
9,487,0.0769
9,72,0.2051
9,48,0.2051
9,161,0.1538
9,13,0.1026
9,266,0.0513
9,17,0.1026
9,391,0.0513
9,8,0.1026
9,91,0.0513
9,162,0.1026
9,336,0.0513
9,384,0.0769
9,343,0.0513
9,102,0.0513
9,281,0.0513
9,41,0.1538
9,132,0.1538
9,333,0.0513
9,6,0.1026
9,213,0.1538
9,177,0.1026
9,257,0.2051
9,82,0.1026
9,381,0.0513
9,20,0.1026
9,3,0.2564
9,138,0.1026
9,269,0.1538
9,57,0.4103
9,440,0.0513
9,271,0.0513
9,99,0.0513
9,278,0.0513
9,153,0.0513
9,436,0.0769
9,234,0.0513
9,112,0.1026
9,23,0.1538
9,29,0.1282
9,345,0.0256
9,49,0.0513
9,15,0.0256
9,143,0.1026
9,123,0.1026
9,59,0.1026
9,291,0.0513
9,16,0.1026
9,74,0.0513
9,219,0.0513
9,344,0.0256
9,126,0.1538
9,120,0.1538
9,202,0.1026
9,33,0.0513
9,180,0.1026
9,323,0.0513
9,302,0.0256
9,163,0.1795
9,1,0.2051
9,430,0.0513
9,84,0.1538
9,142,0.1026
9,139,0.1026
9,2,0.1026
9,359,0.0513
9,32,0.1026
9,36,0.1538
9,261,0.1282
9,85,0.2051
9,223,0.0513
9,155,0.1026
9,233,0.0513
9,10,0.1538
9,232,0.0513
9,199,0.0513
9,164,0.1026
9,106,0.1538
9,68,0.1026
9,320,0.0256
9,45,0.1026
9,11,0.1282
9,189,0.0513
9,248,0.0513
9,443,0.0513
9,87,0.0513
9,114,0.0513
9,297,0.1026
9,69,0.1026
9,260,0.1538
9,425,0.1538
9,203,0.0513
9,282,0.0256
9,427,0.1026
9,93,0.0513
9,394,0.1026
9,212,0.1026
9,117,0.2051
9,40,0.1026
9,356,0.1026
9,403,0.1026
9,357,0.0513
9,186,0.0513
9,61,0.1026
9,386,0.0513
9,130,0.1538
9,30,0.1026
9,207,0.1538
9,390,0.0513
9,131,0.1026
9,53,0.1026
9,81,0.1026
9,96,0.1026
9,141,0.1538
9,27,0.1538
9,360,0.0513
9,47,0.1282
273,484,0.1026
273,14,0.0513
273,137,0.0513
273,46,0.0513
273,6,0.1026
273,59,0.0513
273,1,0.1026
273,139,0.0513
273,42,0.1026
273,68,0.1538
273,109,0.0513
422,31,0.1026
422,44,0.0513
422,5,0.0256
422,8,0.1026
422,476,0.0513
422,20,0.1538
422,15,0.1026
422,478,0.1026
422,233,0.1026
422,330,0.0513
422,159,0.0513
422,282,0.0513
422,27,0.1026
56,67,0.1026
56,12,0.2051
56,191,0.1538
56,238,0.1026
56,124,0.0513
56,24,0.1538
56,326,0.0513
56,185,0.0513
56,28,0.0513
56,171,0.0513
56,4,0.1538
56,122,0.0513
56,339,0.0513
56,128,0.0513
56,54,0.1538
56,136,0.0513
56,267,0.1026
56,76,0.0513
56,62,0.1026
56,34,0.1538
56,18,0.1026
56,467,0.1538
56,134,0.1026
56,44,0.1026
56,156,0.0513
56,22,0.1026
56,79,0.0513
56,5,0.1538
56,296,0.2051
56,89,0.2051
56,90,0.1026
56,92,0.2564
56,266,0.1026
56,17,0.1026
56,8,0.0513
56,336,0.0513
56,281,0.0513
56,6,0.0513
56,177,0.0513
56,257,0.0513
56,82,0.1026
56,20,0.0513
56,3,0.3077
56,269,0.0513
56,57,0.1026
56,99,0.0513
